"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2019-02-27 14:10:00","11976"
"","","10.07","","6.147","","","","","","","2019-02-27 14:20:00","11976"
"","","8.0e-2","","4.163","","","","","","","2019-02-27 14:30:00","11976"
"","","0.0","","3.171","","","","","","16.63","2019-02-27 14:40:00","11976"
"","","0.0","","2.537","","","","","","16.54","2019-02-27 14:50:00","11976"
"","","0.0","","2.114","","","","","","16.46","2019-02-27 15:00:00","11976"
"","","0.0","","2.114","","","","","","16.379","2019-02-27 15:10:00","11976"
"","","0.0","","6.5e-2","","","","","","16.29","2019-02-27 15:20:00","11976"
"","","0.0","","3.2e-2","","","","","","16.21","2019-02-27 15:30:00","11976"
"","","0.0","","0.0","","","","","","16.129","2019-02-27 15:40:00","11976"
"","","6.1","","0.0","","","","","","16.04","2019-02-27 15:50:00","11976"
"","","2.85","","1.159","","","","","","26.44","2019-02-27 16:00:00","11976"
"","","3.01","","2.385","","","","","","38.07","2019-02-27 16:10:00","11976"
"","","2.08","","3.544","","","","","","39.51","2019-02-27 16:20:00","11976"
"","","1.89","","4.391","","","","","","39.68","2019-02-27 16:30:00","11976"
"","","4.37","","5.238","","","","","","39.69","2019-02-27 16:40:00","11976"
"","","4.04","","6.882","","","","","","39.71","2019-02-27 16:50:00","11976"
"","","4.99","","7.501","","","","","","39.71","2019-02-27 17:00:00","11976"
"","","1.62","","7.92","","","","","","39.72","2019-02-27 17:10:00","11976"
"","","4.81","","8.717","","","","","","39.86","2019-02-27 17:20:00","11976"
"","","3.36","","9.238","","","","","","39.86","2019-02-27 17:30:00","11976"
"","","2.7","","9.759","","","","","","39.93","2019-02-27 17:40:00","11976"
"","","1.34","","9.214","","","","","","39.93","2019-02-27 17:50:00","11976"
"","","1.29","","7.981","","","","","","39.98","2019-02-27 18:00:00","11976"
"","","1.66","","6.882","","","","","","40.03","2019-02-27 18:10:00","11976"
"","","3.68","","5.6","","","","","","40.2","2019-02-27 18:20:00","11976"
"","","3.74","","5.73","","","","","","40.24","2019-02-27 18:30:00","11976"
"","","3.61","","5.86","","","","","","40.26","2019-02-27 18:40:00","11976"
"","","1.96","","6.231","","","","","","40.27","2019-02-27 18:50:00","11976"
"","","1.46","","6.483","","","","","","40.3","2019-02-27 19:00:00","11976"
"","","1.56","","6.573","","","","","","40.3","2019-02-27 19:10:00","11976"
"","","0.76","","6.491","","","","","","40.3","2019-02-27 19:20:00","11976"
"","","0.78","","5.311","","","","","","40.3","2019-02-27 19:30:00","11976"
"","","0.8","","4.131","","","","","","40.33","2019-02-27 19:40:00","11976"
"","","1.36","","2.987","","","","","","40.47","2019-02-27 19:50:00","11976"
"","","2.43","","2.743","","","","","","40.57","2019-02-27 20:00:00","11976"
"","","3.07","","3.097","","","","","","40.57","2019-02-27 20:10:00","11976"
