"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2018-11-14 16:40:00","8811"
"","","7.48","","4.566","","","","","","","2018-11-14 16:50:00","8811"
"","","9.61","","9.133","","","","","","","2018-11-14 17:00:00","8811"
"","","11.54","","12.716","","","","","","38.32","2018-11-14 17:10:00","8811"
"","","11.59","","15.809","","","","","","38.95","2018-11-14 17:20:00","8811"
"","","9.11","","17.871","","","","","","39.04","2018-11-14 17:30:00","8811"
"","","7.189","","21.579","","","","","","39.19","2018-11-14 17:40:00","8811"
"","","12.59","","23.764","","","","","","39.22","2018-11-14 17:50:00","8811"
"","","12.62","","25.844","","","","","","39.22","2018-11-14 18:00:00","8811"
"","","8.469","","27.057","","","","","","39.31","2018-11-14 18:10:00","8811"
"","","5.059","","25.807","","","","","","39.34","2018-11-14 18:20:00","8811"
"","","5.389","","23.304","","","","","","39.49","2018-11-14 18:30:00","8811"
"","","5.649","","21.789","","","","","","39.64","2018-11-14 18:40:00","8811"
"","","5.109","","20.275","","","","","","39.79","2018-11-14 18:50:00","8811"
"","","4.789","","17.23","","","","","","39.88","2018-11-14 19:00:00","8811"
"","","3.209","","14.055","","","","","","39.94","2018-11-14 19:10:00","8811"
"","","5.219","","12.557","","","","","","40.0","2018-11-14 19:20:00","8811"
"","","4.129","","12.044","","","","","","40.0","2018-11-14 19:30:00","8811"
"","","4.679","","11.755","","","","","","40.0","2018-11-14 19:40:00","8811"
"","","4.279","","11.304","","","","","","39.97","2018-11-14 19:50:00","8811"
"","","4.169","","10.966","","","","","","39.97","2018-11-14 20:00:00","8811"
"","","3.829","","10.713","","","","","","40.06","2018-11-14 20:10:00","8811"
"","","4.349","","10.461","","","","","","40.1","2018-11-14 20:20:00","8811"
"","","12.959","","10.551","","","","","","40.12","2018-11-14 20:30:00","8811"
"","","4.399","","10.437","","","","","","40.12","2018-11-14 20:40:00","8811"
"","","4.129","","10.485","","","","","","40.12","2018-11-14 20:50:00","8811"
"","","3.619","","10.424","","","","","","40.12","2018-11-14 21:00:00","8811"
"","","4.399","","10.408","","","","","","40.16","2018-11-14 21:10:00","8811"
"","","4.029","","10.351","","","","","","40.16","2018-11-14 21:20:00","8811"
"","","5.53","","10.371","","","","","","40.16","2018-11-14 21:30:00","8811"
"","","4.88","","10.567","","","","","","40.16","2018-11-14 21:40:00","8811"
"","","4.14","","10.763","","","","","","40.22","2018-11-14 21:50:00","8811"
"","","3.09","","10.768","","","","","","40.22","2018-11-14 22:00:00","8811"
"","","3.33","","10.442","","","","","","40.22","2018-11-14 22:10:00","8811"
"","","6.5","","10.158","","","","","","40.31","2018-11-14 22:20:00","8811"
"","","6.05","","10.83","","","","","","40.37","2018-11-14 22:30:00","8811"
"","","6.12","","11.334","","","","","","40.37","2018-11-14 22:40:00","8811"
"","","14.52","","11.839","","","","","","40.4","2018-11-14 22:50:00","8811"
"","","19.04","","16.064","","","","","","40.4","2018-11-14 23:00:00","8811"
"","","16.45","","21.404","","","","","","40.32","2018-11-14 23:10:00","8811"
"","","9.7","","26.743","","","","","","40.23","2018-11-14 23:20:00","8811"
"","","8.91","","28.229","","","","","","40.15","2018-11-14 23:30:00","8811"
"","","5.51","","29.365","","","","","","40.07","2018-11-14 23:40:00","8811"
"","","13.17","","30.5","","","","","","39.98","2018-11-14 23:50:00","8811"
"","","8.79","","28.168","","","","","","39.9","2018-11-15 00:00:00","8811"
"","","9.43","","25.311","","","","","","39.82","2018-11-15 00:10:00","8811"
"","","6.3","","22.193","","","","","","39.73","2018-11-15 00:20:00","8811"
"","","5.82","","20.809","","","","","","39.65","2018-11-15 00:30:00","8811"
"","","5.59","","19.552","","","","","","39.57","2018-11-15 00:40:00","8811"
"","","3.219","","18.201","","","","","","39.73","2018-11-15 00:50:00","8811"
"","","2.809","","15.933","","","","","","39.85","2018-11-15 01:00:00","8811"
"","","4.109","","13.405","","","","","","39.97","2018-11-15 01:10:00","8811"
"","","3.579","","11.284","","","","","","40.1","2018-11-15 01:20:00","8811"
"","","3.459","","10.177","","","","","","40.22","2018-11-15 01:30:00","8811"
"","","5.949","","9.265","","","","","","40.31","2018-11-15 01:40:00","8811"
"","","12.879","","9.411","","","","","","40.4","2018-11-15 01:50:00","8811"
"","","4.779","","10.522","","","","","","40.43","2018-11-15 02:00:00","8811"
"","","4.41","","11.157","","","","","","40.46","2018-11-15 02:10:00","8811"
"","","4.67","","11.601","","","","","","40.49","2018-11-15 02:20:00","8811"
"","","3.91","","11.939","","","","","","40.65","2018-11-15 02:30:00","8811"
"","","4.07","","12.139","","","","","","40.77","2018-11-15 02:40:00","8811"
"","","3.8","","11.309","","","","","","40.86","2018-11-15 02:50:00","8811"
"","","4.39","","10.544","","","","","","40.92","2018-11-15 03:00:00","8811"
"","","4.85","","10.386","","","","","","40.92","2018-11-15 03:10:00","8811"
"","","4.59","","10.354","","","","","","40.86","2018-11-15 03:20:00","8811"
"","","3.8","","10.427","","","","","","40.8","2018-11-15 03:30:00","8811"
"","","5.1","","10.638","","","","","","40.74","2018-11-15 03:40:00","8811"
"","","5.71","","11.123","","","","","","40.71","2018-11-15 03:50:00","8811"
"","","8.6","","11.79","","","","","","40.67","2018-11-15 04:00:00","8811"
"","","10.12","","13.504","","","","","","40.65","2018-11-15 04:10:00","8811"
"","","3.48","","15.136","","","","","","40.58","2018-11-15 04:20:00","8811"
"","","2.7","","14.684","","","","","","40.58","2018-11-15 04:30:00","8811"
"","","2.8","","13.956","","","","","","40.61","2018-11-15 04:40:00","8811"
"","","6.06","","13.019","","","","","","40.67","2018-11-15 04:50:00","8811"
"","","5.25","","12.832","","","","","","40.71","2018-11-15 05:00:00","8811"
"","","4.85","","11.469","","","","","","40.71","2018-11-15 05:10:00","8811"
"","","4.58","","9.943","","","","","","40.67","2018-11-15 05:20:00","8811"
"","","5.35","","10.5","","","","","","40.61","2018-11-15 05:30:00","8811"
"","","4.85","","11.334","","","","","","40.61","2018-11-15 05:40:00","8811"
"","","5.43","","12.372","","","","","","40.55","2018-11-15 05:50:00","8811"
"","","3.199","","12.21","","","","","","40.55","2018-11-15 06:00:00","8811"
"","","4.369","","11.851","","","","","","40.52","2018-11-15 06:10:00","8811"
"","","5.129","","11.655","","","","","","40.49","2018-11-15 06:20:00","8811"
"","","13.079","","11.769","","","","","","40.46","2018-11-15 06:30:00","8811"
"","","8.099","","13.091","","","","","","40.43","2018-11-15 06:40:00","8811"
"","","4.879","","14.21","","","","","","40.35","2018-11-15 06:50:00","8811"
"","","5.039","","14.287","","","","","","40.26","2018-11-15 07:00:00","8811"
"","","2.78","","14.494","","","","","","40.22","2018-11-15 07:10:00","8811"
"","","3.989","","14.34","","","","","","40.25","2018-11-15 07:20:00","8811"
