"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2018-10-24 16:02:00","11006"
"","","2.25","","1.373","","","","","","","2018-10-24 16:12:00","11006"
"","","3.38","","2.747","","","","","","","2018-10-24 16:22:00","11006"
"","","2.67","","3.69","","","","","","39.16","2018-10-24 16:32:00","11006"
"","","2.86","","4.349","","","","","","39.61","2018-10-24 16:42:00","11006"
"","","7.89","","4.788","","","","","","39.64","2018-10-24 16:52:00","11006"
"","","7.96","","7.999","","","","","","39.64","2018-10-24 17:02:00","11006"
"","","5.71","","10.752","","","","","","39.56","2018-10-24 17:12:00","11006"
"","","6.13","","12.332","","","","","","39.47","2018-10-24 17:22:00","11006"
"","","4.82","","13.569","","","","","","39.39","2018-10-24 17:32:00","11006"
"","","5.86","","14.79","","","","","","39.31","2018-10-24 17:42:00","11006"
"","","0.86","","15.588","","","","","","39.37","2018-10-24 17:52:00","11006"
"","","1.04","","12.8","","","","","","39.67","2018-10-24 18:02:00","11006"
"","","2.76","","10.012","","","","","","39.94","2018-10-24 18:12:00","11006"
"","","2.93","","8.64","","","","","","40.12","2018-10-24 18:22:00","11006"
"","","2.49","","7.439","","","","","","40.16","2018-10-24 18:32:00","11006"
"","","1.46","","6.068","","","","","","40.16","2018-10-24 18:42:00","11006"
"","","1.78","","4.831","","","","","","40.12","2018-10-24 18:52:00","11006"
"","","1.0","","5.002","","","","","","40.06","2018-10-24 19:02:00","11006"
"","","3.26","","5.303","","","","","","40.06","2018-10-24 19:12:00","11006"
"","","3.659","","5.506","","","","","","40.1","2018-10-24 19:22:00","11006"
"","","2.659","","5.71","","","","","","40.1","2018-10-24 19:32:00","11006"
"","","5.52","","6.185","","","","","","40.01","2018-10-24 19:42:00","11006"
"","","3.229","","6.775","","","","","","39.93","2018-10-24 19:52:00","11006"
"","","2.809","","7.495","","","","","","40.28","2018-10-24 20:02:00","11006"
"","","1.379","","7.914","","","","","","40.28","2018-10-24 20:12:00","11006"
"","","3.439","","7.73","","","","","","40.28","2018-10-24 20:22:00","11006"
"","","4.39","","7.803","","","","","","40.28","2018-10-24 20:32:00","11006"
"","","5.01","","8.101","","","","","","40.34","2018-10-24 20:42:00","11006"
"","","3.65","","8.573","","","","","","40.4","2018-10-24 20:52:00","11006"
"","","3.25","","8.745","","","","","","40.46","2018-10-24 21:02:00","11006"
"","","1.76","","8.924","","","","","","40.52","2018-10-24 21:12:00","11006"
"","","2.28","","8.709","","","","","","40.52","2018-10-24 21:22:00","11006"
"","","5.36","","8.237","","","","","","40.55","2018-10-24 21:32:00","11006"
"","","4.43","","8.253","","","","","","40.55","2018-10-24 21:42:00","11006"
"","","3.32","","8.27","","","","","","40.47","2018-10-24 21:52:00","11006"
"","","5.07","","8.587","","","","","","40.39","2018-10-24 22:02:00","11006"
"","","2.49","","8.616","","","","","","40.34","2018-10-24 22:12:00","11006"
"","","1.99","","8.701","","","","","","40.46","2018-10-24 22:22:00","11006"
"","","3.96","","8.787","","","","","","40.49","2018-10-24 22:32:00","11006"
"","","2.37","","7.948","","","","","","40.52","2018-10-24 22:42:00","11006"
"","","3.98","","7.757","","","","","","40.52","2018-10-24 22:52:00","11006"
"","","6.99","","7.574","","","","","","40.44","2018-10-24 23:02:00","11006"
"","","6.51","","8.872","","","","","","40.36","2018-10-24 23:12:00","11006"
"","","5.59","","10.508","","","","","","40.27","2018-10-24 23:22:00","11006"
"","","5.42","","11.77","","","","","","40.19","2018-10-24 23:32:00","11006"
