"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2018-09-12 12:36:00","7932"
"","","6.91","","4.218","","","","","","","2018-09-12 12:46:00","7932"
"","","7.97","","8.437","","","","","","","2018-09-12 12:56:00","7932"
"","","9.12","","11.193","","","","","","39.43","2018-09-12 13:06:00","7932"
"","","8.53","","13.12","","","","","","39.43","2018-09-12 13:16:00","7932"
"","","6.42","","14.405","","","","","","39.35","2018-09-12 13:26:00","7932"
"","","4.69","","17.018","","","","","","39.26","2018-09-12 13:36:00","7932"
"","","2.55","","17.521","","","","","","39.34","2018-09-12 13:46:00","7932"
"","","3.06","","15.954","","","","","","39.61","2018-09-12 13:56:00","7932"
"","","3.04","","13.947","","","","","","39.76","2018-09-12 14:06:00","7932"
"","","2.46","","11.713","","","","","","39.94","2018-09-12 14:16:00","7932"
"","","2.43","","9.242","","","","","","40.12","2018-09-12 14:26:00","7932"
"","","1.82","","7.619","","","","","","40.31","2018-09-12 14:36:00","7932"
"","","0.72","","6.45","","","","","","40.46","2018-09-12 14:46:00","7932"
"","","1.65","","5.877","","","","","","40.61","2018-09-12 14:56:00","7932"
"","","1.75","","5.311","","","","","","40.74","2018-09-12 15:06:00","7932"
"","","2.23","","4.786","","","","","","40.8","2018-09-12 15:16:00","7932"
"","","2.28","","4.692","","","","","","40.83","2018-09-12 15:26:00","7932"
"","","2.71","","4.631","","","","","","40.86","2018-09-12 15:36:00","7932"
"","","2.27","","4.818","","","","","","40.92","2018-09-12 15:46:00","7932"
"","","2.44","","5.14","","","","","","40.98","2018-09-12 15:56:00","7932"
"","","1.4","","5.392","","","","","","41.04","2018-09-12 16:06:00","7932"
"","","1.37","","5.25","","","","","","41.11","2018-09-12 16:16:00","7932"
"","","1.33","","4.9","","","","","","41.17","2018-09-12 16:26:00","7932"
"","","5.28","","4.529","","","","","","41.26","2018-09-12 16:36:00","7932"
"","","2.92","","4.79","","","","","","41.35","2018-09-12 16:46:00","7932"
