"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2018-09-21 11:45:00","11521"
"","","2.19","","1.336","","","","","","","2018-09-21 11:55:00","11521"
"","","2.95","","2.673","","","","","","","2018-09-21 12:05:00","11521"
"","","1.35","","3.342","","","","","","39.34","2018-09-21 12:15:00","11521"
"","","1.45","","3.382","","","","","","39.7","2018-09-21 12:25:00","11521"
"","","10.16","","3.408","","","","","","39.73","2018-09-21 12:35:00","11521"
"","","3.85","","4.975","","","","","","39.73","2018-09-21 12:45:00","11521"
"","","3.62","","6.096","","","","","","39.65","2018-09-21 12:55:00","11521"
"","","7.02","","6.772","","","","","","39.56","2018-09-21 13:05:00","11521"
"","","1.72","","7.354","","","","","","39.48","2018-09-21 13:15:00","11521"
"","","8.039","","9.621","","","","","","39.4","2018-09-21 13:25:00","11521"
"","","5.68","","11.343","","","","","","39.31","2018-09-21 13:35:00","11521"
"","","3.31","","12.087","","","","","","39.28","2018-09-21 13:45:00","11521"
"","","1.8","","11.868","","","","","","39.31","2018-09-21 13:55:00","11521"
"","","3.15","","11.583","","","","","","39.31","2018-09-21 14:05:00","11521"
"","","3.27","","11.391","","","","","","39.4","2018-09-21 14:15:00","11521"
"","","6.6","","9.865","","","","","","39.43","2018-09-21 14:25:00","11521"
"","","5.9","","9.955","","","","","","39.43","2018-09-21 14:35:00","11521"
"","","4.96","","10.044","","","","","","39.35","2018-09-21 14:45:00","11521"
"","","5.0","","10.732","","","","","","39.26","2018-09-21 14:55:00","11521"
"","","5.14","","11.485","","","","","","39.19","2018-09-21 15:05:00","11521"
"","","7.24","","12.295","","","","","","39.1","2018-09-21 15:15:00","11521"
"","","1.21","","13.056","","","","","","39.02","2018-09-21 15:25:00","11521"
"","","5.7","","12.975","","","","","","38.95","2018-09-21 15:35:00","11521"
"","","2.74","","11.689","","","","","","39.04","2018-09-21 15:45:00","11521"
"","","2.86","","10.818","","","","","","39.13","2018-09-21 15:55:00","11521"
"","","3.7","","9.947","","","","","","39.19","2018-09-21 16:05:00","11521"
"","","2.31","","9.019","","","","","","39.22","2018-09-21 16:15:00","11521"
"","","4.87","","8.433","","","","","","39.31","2018-09-21 16:25:00","11521"
"","","3.18","","7.407","","","","","","39.43","2018-09-21 16:35:00","11521"
"","","8.41","","8.274","","","","","","39.43","2018-09-21 16:45:00","11521"
"","","7.1","","10.0","","","","","","39.43","2018-09-21 16:55:00","11521"
"","","4.75","","11.725","","","","","","39.35","2018-09-21 17:05:00","11521"
"","","4.68","","12.494","","","","","","39.26","2018-09-21 17:15:00","11521"
"","","4.439","","12.893","","","","","","39.19","2018-09-21 17:25:00","11521"
"","","4.689","","13.504","","","","","","39.46","2018-09-21 17:35:00","11521"
"","","4.129","","13.328","","","","","","39.67","2018-09-21 17:45:00","11521"
"","","4.589","","12.306","","","","","","39.76","2018-09-21 17:55:00","11521"
"","","8.79","","11.284","","","","","","39.76","2018-09-21 18:05:00","11521"
"","","6.969","","12.188","","","","","","39.7","2018-09-21 18:15:00","11521"
"","","8.389","","13.697","","","","","","39.62","2018-09-21 18:25:00","11521"
"","","6.219","","14.629","","","","","","39.53","2018-09-21 18:35:00","11521"
