"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2018-12-19 16:47:00","6534"
"","","6.51","","3.974","","","","","","","2018-12-19 16:57:00","6534"
"","","10.649","","7.948","","","","","","","2018-12-19 17:07:00","6534"
"","","6.439","","9.935","","","","","","34.22","2018-12-19 17:17:00","6534"
"","","3.729","","11.093","","","","","","34.22","2018-12-19 17:27:00","6534"
"","","6.549","","11.865","","","","","","36.25","2018-12-19 17:37:00","6534"
"","","3.729","","13.382","","","","","","37.35","2018-12-19 17:47:00","6534"
"","","4.779","","14.003","","","","","","38.29","2018-12-19 17:57:00","6534"
"","","4.09","","13.018","","","","","","38.38","2018-12-19 18:07:00","6534"
"","","4.019","","12.033","","","","","","38.71","2018-12-19 18:17:00","6534"
"","","4.449","","11.077","","","","","","38.98","2018-12-19 18:27:00","6534"
"","","3.079","","10.092","","","","","","39.16","2018-12-19 18:37:00","6534"
"","","2.119","","9.827","","","","","","39.22","2018-12-19 18:47:00","6534"
"","","2.359","","8.842","","","","","","39.34","2018-12-19 18:57:00","6534"
"","","1.739","","8.04","","","","","","39.49","2018-12-19 19:07:00","6534"
"","","2.839","","7.336","","","","","","39.64","2018-12-19 19:17:00","6534"
"","","2.989","","6.827","","","","","","39.73","2018-12-19 19:27:00","6534"
"","","8.029","","6.407","","","","","","39.82","2018-12-19 19:37:00","6534"
"","","7.529","","8.218","","","","","","39.82","2018-12-19 19:47:00","6534"
"","","6.649","","10.323","","","","","","39.74","2018-12-19 19:57:00","6534"
"","","4.939","","12.166","","","","","","39.66","2018-12-19 20:07:00","6534"
"","","5.18","","13.315","","","","","","39.57","2018-12-19 20:17:00","6534"
"","","4.89","","14.169","","","","","","39.61","2018-12-19 20:27:00","6534"
"","","4.449","","14.943","","","","","","39.79","2018-12-19 20:37:00","6534"
"","","2.899","","13.689","","","","","","39.88","2018-12-19 20:47:00","6534"
"","","4.209","","12.338","","","","","","40.0","2018-12-19 20:57:00","6534"
"","","2.699","","10.812","","","","","","40.1","2018-12-19 21:07:00","6534"
"","","2.989","","9.92","","","","","","40.19","2018-12-19 21:17:00","6534"
"","","2.839","","9.065","","","","","","40.37","2018-12-19 21:27:00","6534"
"","","3.7","","8.292","","","","","","40.55","2018-12-19 21:37:00","6534"
"","","4.24","","7.987","","","","","","40.55","2018-12-19 21:47:00","6534"
"","","3.52","","7.78","","","","","","40.47","2018-12-19 21:57:00","6534"
"","","1.96","","8.032","","","","","","40.39","2018-12-19 22:07:00","6534"
"","","1.84","","7.614","","","","","","40.3","2018-12-19 22:17:00","6534"
"","","2.51","","7.256","","","","","","40.22","2018-12-19 22:27:00","6534"
"","","6.07","","7.061","","","","","","40.43","2018-12-19 22:37:00","6534"
"","","6.44","","8.026","","","","","","40.43","2018-12-19 22:47:00","6534"
"","","3.78","","8.99","","","","","","40.35","2018-12-19 22:57:00","6534"
"","","5.31","","9.719","","","","","","40.26","2018-12-19 23:07:00","6534"
"","","3.04","","10.459","","","","","","40.18","2018-12-19 23:17:00","6534"
"","","3.53","","11.098","","","","","","40.1","2018-12-19 23:27:00","6534"
"","","4.33","","11.514","","","","","","40.37","2018-12-19 23:37:00","6534"
"","","4.12","","10.72","","","","","","40.49","2018-12-19 23:47:00","6534"
"","","3.84","","9.926","","","","","","40.49","2018-12-19 23:57:00","6534"
