"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2018-09-12 12:38:00","595"
"","","6.3","","3.846","","","","","","","2018-09-12 12:48:00","595"
"","","3.48","","5.396","","","","","","","2018-09-12 12:58:00","595"
"","","0.83","","6.172","","","","","","38.65","2018-09-12 13:08:00","595"
"","","1.29","","5.567","","","","","","39.13","2018-09-12 13:18:00","595"
"","","2.56","","5.164","","","","","","39.22","2018-09-12 13:28:00","595"
"","","2.86","","6.206","","","","","","39.28","2018-09-12 13:38:00","595"
"","","1.2","","5.966","","","","","","39.37","2018-09-12 13:48:00","595"
"","","1.41","","5.124","","","","","","39.46","2018-09-12 13:58:00","595"
"","","0.929","","4.196","","","","","","39.55","2018-09-12 14:08:00","595"
"","","1.079","","4.11","","","","","","39.67","2018-09-12 14:18:00","595"
"","","1.008","","3.995","","","","","","39.73","2018-09-12 14:28:00","595"
"","","2.57","","3.392","","","","","","39.76","2018-09-12 14:38:00","595"
"","","1.4","","2.92","","","","","","39.82","2018-09-12 14:48:00","595"
"","","0.95","","2.916","","","","","","39.82","2018-09-12 14:58:00","595"
"","","1.41","","2.997","","","","","","39.88","2018-09-12 15:08:00","595"
"","","1.849","","3.132","","","","","","39.97","2018-09-12 15:18:00","595"
"","","1.859","","3.474","","","","","","40.06","2018-09-12 15:28:00","595"
"","","3.63","","3.792","","","","","","40.06","2018-09-12 15:38:00","595"
"","","4.82","","4.7","","","","","","40.06","2018-09-12 15:48:00","595"
"","","3.0","","5.607","","","","","","39.98","2018-09-12 15:58:00","595"
"","","2.5","","6.258","","","","","","39.9","2018-09-12 16:08:00","595"
"","","2.88","","6.857","","","","","","39.81","2018-09-12 16:18:00","595"
"","","2.349","","7.122","","","","","","39.73","2018-09-12 16:28:00","595"
"","","2.84","","7.521","","","","","","39.65","2018-09-12 16:38:00","595"
"","","2.659","","7.126","","","","","","39.56","2018-09-12 16:48:00","595"
"","","2.59","","6.73","","","","","","39.48","2018-09-12 16:58:00","595"
"","","3.059","","6.592","","","","","","39.4","2018-09-12 17:08:00","595"
"","","2.169","","6.474","","","","","","39.58","2018-09-12 17:18:00","595"
"","","2.669","","6.542","","","","","","39.73","2018-09-12 17:28:00","595"
"","","2.239","","6.298","","","","","","39.88","2018-09-12 17:38:00","595"
"","","1.79","","6.127","","","","","","40.03","2018-09-12 17:48:00","595"
"","","1.9","","5.818","","","","","","40.16","2018-09-12 17:58:00","595"
"","","0.95","","5.464","","","","","","40.28","2018-09-12 18:08:00","595"
"","","0.73","","4.797","","","","","","40.37","2018-09-12 18:18:00","595"
"","","1.63","","4.097","","","","","","40.46","2018-09-12 18:28:00","595"
"","","1.57","","3.825","","","","","","40.55","2018-09-12 18:38:00","595"
"","","0.95","","3.553","","","","","","40.61","2018-09-12 18:48:00","595"
"","","1.2","","3.268","","","","","","40.67","2018-09-12 18:58:00","595"
"","","3.37","","3.028","","","","","","40.67","2018-09-12 19:08:00","595"
"","","4.28","","4.013","","","","","","40.59","2018-09-12 19:18:00","595"
"","","4.93","","5.368","","","","","","40.51","2018-09-12 19:28:00","595"
"","","2.95","","6.471","","","","","","40.46","2018-09-12 19:38:00","595"
"","","1.92","","7.032","","","","","","40.52","2018-09-12 19:48:00","595"
"","","2.02","","7.366","","","","","","40.55","2018-09-12 19:58:00","595"
"","","2.09","","7.7","","","","","","40.55","2018-09-12 20:08:00","595"
"","","4.019","","7.179","","","","","","40.55","2018-09-12 20:18:00","595"
"","","3.81","","6.988","","","","","","40.52","2018-09-12 20:28:00","595"
"","","2.0","","6.796","","","","","","40.52","2018-09-12 20:38:00","595"
"","","1.51","","6.41","","","","","","40.52","2018-09-12 20:48:00","595"
"","","1.83","","6.332","","","","","","40.44","2018-09-12 20:58:00","595"
"","","1.62","","6.17","","","","","","40.43","2018-09-12 21:08:00","595"
"","","1.55","","5.978","","","","","","40.46","2018-09-12 21:18:00","595"
"","","2.08","","5.087","","","","","","40.49","2018-09-12 21:28:00","595"
"","","2.2","","4.383","","","","","","40.49","2018-09-12 21:38:00","595"
"","","1.6","","4.415","","","","","","40.52","2018-09-12 21:48:00","595"
"","","2.11","","4.529","","","","","","40.52","2018-09-12 21:58:00","595"
"","","1.5","","4.521","","","","","","40.52","2018-09-12 22:08:00","595"
"","","1.33","","4.472","","","","","","40.46","2018-09-12 22:18:00","595"
"","","1.68","","4.424","","","","","","40.46","2018-09-12 22:28:00","595"
"","","2.43","","4.261","","","","","","40.46","2018-09-12 22:38:00","595"
"","","1.11","","4.098","","","","","","40.46","2018-09-12 22:48:00","595"
"","","1.54","","3.866","","","","","","40.4","2018-09-12 22:58:00","595"
"","","1.88","","3.842","","","","","","40.37","2018-09-12 23:08:00","595"
"","","1.6","","3.882","","","","","","40.37","2018-09-12 23:18:00","595"
"","","1.92","","4.037","","","","","","40.37","2018-09-12 23:28:00","595"
