"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2019-01-09 15:24:00","11388"
"","","3.68","","2.246","","","","","","","2019-01-09 15:34:00","11388"
"","","1.2","","2.474","","","","","","","2019-01-09 15:44:00","11388"
"","","4.66","","4.102","","","","","","39.72","2019-01-09 15:54:00","11388"
"","","5.41","","5.557","","","","","","39.72","2019-01-09 16:04:00","11388"
"","","5.59","","6.833","","","","","","39.64","2019-01-09 16:14:00","11388"
"","","2.119","","9.035","","","","","","39.55","2019-01-09 16:24:00","11388"
"","","1.359","","9.148","","","","","","39.47","2019-01-09 16:34:00","11388"
"","","3.88","","9.522","","","","","","39.39","2019-01-09 16:44:00","11388"
"","","3.699","","9.53","","","","","","39.3","2019-01-09 16:54:00","11388"
"","","4.05","","9.213","","","","","","39.22","2019-01-09 17:04:00","11388"
"","","5.43","","8.659","","","","","","39.14","2019-01-09 17:14:00","11388"
"","","3.619","","8.106","","","","","","39.05","2019-01-09 17:24:00","11388"
"","","2.84","","8.716","","","","","","38.97","2019-01-09 17:34:00","11388"
"","","3.13","","9.128","","","","","","38.89","2019-01-09 17:44:00","11388"
"","","1.809","","8.778","","","","","","39.05","2019-01-09 17:54:00","11388"
"","","1.049","","7.935","","","","","","39.31","2019-01-09 18:04:00","11388"
"","","3.53","","7.023","","","","","","39.31","2019-01-09 18:14:00","11388"
"","","3.739","","6.811","","","","","","39.23","2019-01-09 18:24:00","11388"
"","","3.679","","6.836","","","","","","39.14","2019-01-09 18:34:00","11388"
"","","2.689","","7.059","","","","","","39.06","2019-01-09 18:44:00","11388"
"","","4.05","","7.401","","","","","","39.14","2019-01-09 18:54:00","11388"
"","","3.29","","8.004","","","","","","39.18","2019-01-09 19:04:00","11388"
"","","3.97","","8.883","","","","","","39.22","2019-01-09 19:14:00","11388"
"","","2.4","","8.785","","","","","","39.25","2019-01-09 19:24:00","11388"
"","","3.42","","8.68","","","","","","39.55","2019-01-09 19:34:00","11388"
"","","3.02","","8.412","","","","","","39.72","2019-01-09 19:44:00","11388"
"","","1.98","","8.144","","","","","","39.93","2019-01-09 19:54:00","11388"
"","","3.06","","8.034","","","","","","40.16","2019-01-09 20:04:00","11388"
"","","4.36","","7.663","","","","","","40.16","2019-01-09 20:14:00","11388"
"","","2.43","","7.57","","","","","","40.08","2019-01-09 20:24:00","11388"
"","","3.59","","7.639","","","","","","39.99","2019-01-09 20:34:00","11388"
