"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2018-07-13 13:00:00","11640"
"","","11.42","","6.971","","","","","","","2018-07-13 13:10:00","11640"
"","","2.51","","6.691","","","","","","","2018-07-13 13:20:00","11640"
"","","0.329","","6.55","","","","","","39.34","2018-07-13 13:30:00","11640"
"","","0.359","","5.415","","","","","","39.73","2018-07-13 13:40:00","11640"
"","","3.9e-2","","4.647","","","","","","39.88","2018-07-13 13:50:00","11640"
"","","0.519","","4.793","","","","","","39.88","2018-07-13 14:00:00","11640"
"","","1.199","","2.68","","","","","","39.8","2018-07-13 14:10:00","11640"
"","","8.9e-2","","1.87","","","","","","39.72","2018-07-13 14:20:00","11640"
"","","1.549","","1.336","","","","","","39.63","2018-07-13 14:30:00","11640"
"","","2.079","","1.82","","","","","","39.55","2018-07-13 14:40:00","11640"
"","","0.289","","2.317","","","","","","39.47","2018-07-13 14:50:00","11640"
"","","1.929","","2.956","","","","","","39.38","2018-07-13 15:00:00","11640"
"","","0.439","","2.923","","","","","","39.31","2018-07-13 15:10:00","11640"
"","","0.749","","3.017","","","","","","39.23","2018-07-13 15:20:00","11640"
"","","1.969","","2.834","","","","","","39.14","2018-07-13 15:30:00","11640"
"","","4.9e-2","","2.508","","","","","","39.22","2018-07-13 15:40:00","11640"
"","","4.14","","2.679","","","","","","39.25","2018-07-13 15:50:00","11640"
"","","7.67","","3.579","","","","","","39.28","2018-07-13 16:00:00","11640"
"","","4.27","","5.138","","","","","","39.28","2018-07-13 16:10:00","11640"
"","","2.749","","6.571","","","","","","39.34","2018-07-13 16:20:00","11640"
"","","4.779","","8.004","","","","","","39.34","2018-07-13 16:30:00","11640"
"","","4.18","","9.401","","","","","","39.31","2018-07-13 16:40:00","11640"
"","","5.13","","10.544","","","","","","39.31","2018-07-13 16:50:00","11640"
"","","5.97","","10.947","","","","","","39.49","2018-07-13 17:00:00","11640"
"","","5.569","","11.476","","","","","","39.49","2018-07-13 17:10:00","11640"
"","","2.359","","12.005","","","","","","39.41","2018-07-13 17:20:00","11640"
"","","2.419","","11.251","","","","","","39.32","2018-07-13 17:30:00","11640"
"","","2.56","","10.535","","","","","","39.28","2018-07-13 17:40:00","11640"
"","","2.18","","9.574","","","","","","39.61","2018-07-13 17:50:00","11640"
"","","3.5","","8.528","","","","","","39.82","2018-07-13 18:00:00","11640"
