"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2018-12-12 16:29:00","11137"
"","","9.0","","5.494","","","","","","","2018-12-12 16:39:00","11137"
"","","10.12","","10.989","","","","","","","2018-12-12 16:49:00","11137"
"","","13.67","","14.42","","","","","","39.95","2018-12-12 16:59:00","11137"
"","","4.84","","16.478","","","","","","40.48","2018-12-12 17:09:00","11137"
"","","4.73","","15.702","","","","","","40.54","2018-12-12 17:19:00","11137"
"","","5.34","","17.671","","","","","","40.6","2018-12-12 17:29:00","11137"
"","","4.85","","17.814","","","","","","40.67","2018-12-12 17:39:00","11137"
"","","4.53","","16.125","","","","","","40.7","2018-12-12 17:49:00","11137"
"","","8.66","","13.98","","","","","","40.7","2018-12-12 17:59:00","11137"
"","","8.109","","13.161","","","","","","40.62","2018-12-12 18:09:00","11137"
"","","10.959","","14.716","","","","","","40.53","2018-12-12 18:19:00","11137"
"","","11.579","","17.207","","","","","","40.45","2018-12-12 18:29:00","11137"
"","","6.279","","19.693","","","","","","40.37","2018-12-12 18:39:00","11137"
"","","9.619","","21.634","","","","","","40.28","2018-12-12 18:49:00","11137"
"","","10.299","","23.575","","","","","","40.2","2018-12-12 18:59:00","11137"
"","","11.569","","24.466","","","","","","40.12","2018-12-12 19:09:00","11137"
"","","11.179","","25.492","","","","","","40.03","2018-12-12 19:19:00","11137"
"","","10.179","","25.581","","","","","","39.95","2018-12-12 19:29:00","11137"
"","","8.439","","25.264","","","","","","39.79","2018-12-12 19:39:00","11137"
"","","5.249","","24.783","","","","","","39.71","2018-12-12 19:49:00","11137"
"","","4.799","","23.005","","","","","","39.62","2018-12-12 19:59:00","11137"
"","","3.599","","20.766","","","","","","39.79","2018-12-12 20:09:00","11137"
"","","6.929","","18.17","","","","","","39.79","2018-12-12 20:19:00","11137"
"","","11.729","","16.44","","","","","","39.71","2018-12-12 20:29:00","11137"
"","","9.349","","16.102","","","","","","39.62","2018-12-12 20:39:00","11137"
"","","3.049","","16.472","","","","","","39.54","2018-12-12 20:49:00","11137"
"","","3.18","","15.63","","","","","","39.46","2018-12-12 20:59:00","11137"
"","","4.69","","14.971","","","","","","39.62","2018-12-12 21:09:00","11137"
"","","3.41","","14.406","","","","","","39.78","2018-12-12 21:19:00","11137"
"","","5.51","","13.495","","","","","","39.9","2018-12-12 21:29:00","11137"
"","","5.939","","11.932","","","","","","40.05","2018-12-12 21:39:00","11137"
"","","5.18","","10.37","","","","","","40.16","2018-12-12 21:49:00","11137"
"","","4.93","","11.184","","","","","","40.27","2018-12-12 21:59:00","11137"
"","","4.25","","11.896","","","","","","40.35","2018-12-12 22:09:00","11137"
"","","3.41","","12.238","","","","","","40.41","2018-12-12 22:19:00","11137"
"","","4.23","","12.051","","","","","","40.41","2018-12-12 22:29:00","11137"
"","","2.66","","11.196","","","","","","40.47","2018-12-12 22:39:00","11137"
