"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2018-11-07 15:28:00","11874"
"","","7.73","","4.719","","","","","","","2018-11-07 15:38:00","11874"
"","","9.21","","9.438","","","","","","","2018-11-07 15:48:00","11874"
"","","11.32","","12.701","","","","","","39.7","2018-11-07 15:58:00","11874"
"","","16.05","","15.689","","","","","","39.94","2018-11-07 16:08:00","11874"
"","","14.0","","18.772","","","","","","39.94","2018-11-07 16:18:00","11874"
"","","8.57","","24.47","","","","","","39.86","2018-11-07 16:28:00","11874"
"","","3.27","","26.385","","","","","","39.77","2018-11-07 16:38:00","11874"
"","","1.75","","24.57","","","","","","39.69","2018-11-07 16:48:00","11874"
"","","0.22","","21.534","","","","","","39.61","2018-11-07 16:58:00","11874"
"","","1.02","","17.342","","","","","","39.8","2018-11-07 17:08:00","11874"
"","","3.48","","12.059","","","","","","40.03","2018-11-07 17:18:00","11874"
"","","2.86","","7.525","","","","","","40.16","2018-11-07 17:28:00","11874"
"","","2.52","","5.201","","","","","","40.16","2018-11-07 17:38:00","11874"
"","","4.17","","5.034","","","","","","40.11","2018-11-07 17:48:00","11874"
"","","6.74","","6.019","","","","","","40.03","2018-11-07 17:58:00","11874"
"","","2.51","","7.301","","","","","","39.94","2018-11-07 18:08:00","11874"
"","","2.059","","7.908","","","","","","39.86","2018-11-07 18:18:00","11874"
"","","1.889","","7.582","","","","","","39.78","2018-11-07 18:28:00","11874"
"","","1.549","","7.186","","","","","","39.86","2018-11-07 18:38:00","11874"
"","","2.829","","6.791","","","","","","39.93","2018-11-07 18:48:00","11874"
"","","2.009","","5.912","","","","","","40.01","2018-11-07 18:58:00","11874"
"","","2.92","","5.366","","","","","","40.11","2018-11-07 19:08:00","11874"
"","","2.38","","5.313","","","","","","40.23","2018-11-07 19:18:00","11874"
"","","7.72","","5.663","","","","","","40.23","2018-11-07 19:28:00","11874"
"","","3.41","","6.282","","","","","","40.23","2018-11-07 19:38:00","11874"
"","","3.97","","7.129","","","","","","40.38","2018-11-07 19:48:00","11874"
"","","4.25","","7.927","","","","","","40.48","2018-11-07 19:58:00","11874"
"","","3.01","","8.392","","","","","","40.48","2018-11-07 20:08:00","11874"
"","","3.11","","8.689","","","","","","40.4","2018-11-07 20:18:00","11874"
"","","3.09","","8.758","","","","","","40.31","2018-11-07 20:28:00","11874"
"","","2.449","","8.628","","","","","","40.23","2018-11-07 20:38:00","11874"
"","","4.91","","8.27","","","","","","40.15","2018-11-07 20:48:00","11874"
"","","2.89","","7.83","","","","","","40.06","2018-11-07 20:58:00","11874"
"","","2.53","","7.391","","","","","","40.03","2018-11-07 21:08:00","11874"
"","","3.3","","7.301","","","","","","40.61","2018-11-07 21:18:00","11874"
"","","4.3","","7.387","","","","","","40.86","2018-11-07 21:28:00","11874"
"","","4.77","","7.879","","","","","","40.86","2018-11-07 21:38:00","11874"
"","","2.06","","8.371","","","","","","40.83","2018-11-07 21:48:00","11874"
"","","4.01","","8.827","","","","","","40.78","2018-11-07 21:58:00","11874"
"","","4.11","","9.283","","","","","","40.76","2018-11-07 22:08:00","11874"
"","","4.27","","9.78","","","","","","40.76","2018-11-07 22:18:00","11874"
"","","3.74","","10.109","","","","","","40.83","2018-11-07 22:28:00","11874"
"","","3.16","","9.881","","","","","","40.86","2018-11-07 22:38:00","11874"
"","","2.1","","9.417","","","","","","40.86","2018-11-07 22:48:00","11874"
"","","3.49","","9.072","","","","","","40.82","2018-11-07 22:58:00","11874"
"","","3.03","","8.673","","","","","","40.74","2018-11-07 23:08:00","11874"
"","","2.98","","8.233","","","","","","40.65","2018-11-07 23:18:00","11874"
"","","2.52","","7.773","","","","","","40.57","2018-11-07 23:28:00","11874"
"","","2.13","","7.277","","","","","","40.49","2018-11-07 23:38:00","11874"
"","","2.26","","6.91","","","","","","40.4","2018-11-07 23:48:00","11874"
