"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2018-11-21 17:09:00","11803"
"","","8.62","","5.262","","","","","","","2018-11-21 17:19:00","11803"
"","","10.35","","10.525","","","","","","","2018-11-21 17:29:00","11803"
"","","11.83","","14.212","","","","","","34.59","2018-11-21 17:39:00","11803"
"","","6.15","","16.424","","","","","","37.32","2018-11-21 17:49:00","11803"
"","","3.51","","16.19","","","","","","37.32","2018-11-21 17:59:00","11803"
"","","4.13","","17.871","","","","","","37.67","2018-11-21 18:09:00","11803"
"","","2.76","","17.545","","","","","","38.09","2018-11-21 18:19:00","11803"
"","","5.279","","15.718","","","","","","38.09","2018-11-21 18:29:00","11803"
"","","2.929","","12.698","","","","","","38.23","2018-11-21 18:39:00","11803"
"","","6.619","","10.634","","","","","","38.23","2018-11-21 18:49:00","11803"
"","","3.319","","9.481","","","","","","38.23","2018-11-21 18:59:00","11803"
"","","5.469","","10.026","","","","","","38.35","2018-11-21 19:09:00","11803"
"","","1.259","","9.949","","","","","","38.35","2018-11-21 19:19:00","11803"
"","","2.659","","9.35","","","","","","38.62","2018-11-21 19:29:00","11803"
"","","1.629","","8.821","","","","","","38.8","2018-11-21 19:39:00","11803"
"","","3.329","","7.754","","","","","","38.98","2018-11-21 19:49:00","11803"
"","","3.369","","7.759","","","","","","39.07","2018-11-21 19:59:00","11803"
"","","2.339","","6.888","","","","","","39.1","2018-11-21 20:09:00","11803"
"","","1.249","","6.489","","","","","","39.19","2018-11-21 20:19:00","11803"
"","","0.919","","5.915","","","","","","39.28","2018-11-21 20:29:00","11803"
"","","1.039","","5.675","","","","","","39.37","2018-11-21 20:39:00","11803"
"","","1.489","","5.015","","","","","","39.46","2018-11-21 20:49:00","11803"
"","","1.079","","4.1","","","","","","39.55","2018-11-21 20:59:00","11803"
"","","1.839","","3.351","","","","","","39.58","2018-11-21 21:09:00","11803"
"","","3.669","","3.147","","","","","","39.58","2018-11-21 21:19:00","11803"
"","","4.349","","4.132","","","","","","39.5","2018-11-21 21:29:00","11803"
"","","4.329","","5.471","","","","","","39.41","2018-11-21 21:39:00","11803"
"","","3.939","","6.81","","","","","","39.33","2018-11-21 21:49:00","11803"
"","","2.36","","7.974","","","","","","39.25","2018-11-21 21:59:00","11803"
"","","1.98","","8.329","","","","","","39.16","2018-11-21 22:09:00","11803"
"","","2.17","","8.463","","","","","","39.08","2018-11-21 22:19:00","11803"
"","","1.95","","7.776","","","","","","39.0","2018-11-21 22:29:00","11803"
"","","2.42","","6.897","","","","","","39.04","2018-11-21 22:39:00","11803"
"","","1.589","","5.929","","","","","","39.13","2018-11-21 22:49:00","11803"
"","","1.73","","5.03","","","","","","39.19","2018-11-21 22:59:00","11803"
"","","1.85","","4.774","","","","","","39.25","2018-11-21 23:09:00","11803"
"","","2.11","","4.643","","","","","","39.31","2018-11-21 23:19:00","11803"
"","","1.09","","4.59","","","","","","39.31","2018-11-21 23:29:00","11803"
"","","1.23","","4.208","","","","","","39.31","2018-11-21 23:39:00","11803"
"","","1.12","","3.87","","","","","","39.37","2018-11-21 23:49:00","11803"
"","","1.64","","3.667","","","","","","39.46","2018-11-21 23:59:00","11803"
"","","2.009","","3.63","","","","","","39.52","2018-11-22 00:09:00","11803"
"","","1.79","","3.606","","","","","","39.58","2018-11-22 00:19:00","11803"
"","","2.41","","3.67","","","","","","39.58","2018-11-22 00:29:00","11803"
"","","1.8","","3.902","","","","","","39.52","2018-11-22 00:39:00","11803"
"","","1.94","","4.236","","","","","","39.52","2018-11-22 00:49:00","11803"
"","","1.57","","4.468","","","","","","39.52","2018-11-22 00:59:00","11803"
"","","1.23","","4.439","","","","","","39.58","2018-11-22 01:09:00","11803"
"","","1.48","","4.313","","","","","","39.64","2018-11-22 01:19:00","11803"
"","","1.89","","4.098","","","","","","39.7","2018-11-22 01:29:00","11803"
"","","1.74","","4.074","","","","","","39.7","2018-11-22 01:39:00","11803"
"","","1.72","","3.992","","","","","","39.7","2018-11-22 01:49:00","11803"
"","","2.29","","3.968","","","","","","39.7","2018-11-22 01:59:00","11803"
"","","2.84","","4.261","","","","","","39.7","2018-11-22 02:09:00","11803"
"","","1.529","","4.59","","","","","","39.7","2018-11-22 02:19:00","11803"
"","","1.239","","4.61","","","","","","39.62","2018-11-22 02:29:00","11803"
"","","1.539","","4.525","","","","","","39.53","2018-11-22 02:39:00","11803"
"","","2.809","","4.443","","","","","","39.45","2018-11-22 02:49:00","11803"
"","","5.609","","4.878","","","","","","39.4","2018-11-22 02:59:00","11803"
"","","3.039","","5.183","","","","","","39.4","2018-11-22 03:09:00","11803"
"","","1.349","","5.487","","","","","","39.4","2018-11-22 03:19:00","11803"
"","","2.6","","5.923","","","","","","39.4","2018-11-22 03:29:00","11803"
"","","2.44","","6.294","","","","","","39.4","2018-11-22 03:39:00","11803"
"","","1.24","","6.661","","","","","","39.4","2018-11-22 03:49:00","11803"
"","","1.49","","6.124","","","","","","39.46","2018-11-22 03:59:00","11803"
"","","1.51","","5.494","","","","","","39.49","2018-11-22 04:09:00","11803"
"","","1.82","","4.871","","","","","","39.55","2018-11-22 04:19:00","11803"
"","","1.62","","4.472","","","","","","39.64","2018-11-22 04:29:00","11803"
"","","1.16","","4.139","","","","","","39.7","2018-11-22 04:39:00","11803"
"","","1.07","","3.618","","","","","","39.76","2018-11-22 04:49:00","11803"
"","","1.67","","3.483","","","","","","39.85","2018-11-22 04:59:00","11803"
"","","1.06","","3.312","","","","","","39.85","2018-11-22 05:09:00","11803"
"","","1.19","","3.182","","","","","","39.79","2018-11-22 05:19:00","11803"
"","","1.549","","3.007","","","","","","39.71","2018-11-22 05:29:00","11803"
"","","1.929","","2.978","","","","","","39.7","2018-11-22 05:39:00","11803"
"","","1.999","","3.291","","","","","","39.73","2018-11-22 05:49:00","11803"
