"act_heat_index","act_heat_index_smart","animal_activity","heat_index","low_pass_over_activity","percentile60_of_5day_temp","stomach_temp","temp_dec_index","temp_height_index","temp_inc_index","temp_without_drink_cycles","time","CowID"
"","","0.0","","0.0","","","","","","","2019-01-29 09:02:00","12049"
"","","7.64","","4.664","","","","","","","2019-01-29 09:12:00","12049"
"","","2.099","","4.818","","","","","","32.38","2019-01-29 09:22:00","12049"
"","","0.649","","4.894","","","","","","38.08","2019-01-29 09:32:00","12049"
"","","3.139","","4.941","","","","","","38.72","2019-01-29 09:42:00","12049"
"","","2.489","","5.13","","","","","","38.91","2019-01-29 09:52:00","12049"
"","","2.46","","6.143","","","","","","39.03","2019-01-29 10:02:00","12049"
"","","1.65","","5.59","","","","","","39.06","2019-01-29 10:12:00","12049"
"","","1.049","","5.407","","","","","","39.09","2019-01-29 10:22:00","12049"
"","","1.839","","5.224","","","","","","39.14","2019-01-29 10:32:00","12049"
"","","2.08","","5.118","","","","","","39.22","2019-01-29 10:42:00","12049"
"","","2.09","","4.952","","","","","","39.29","2019-01-29 10:52:00","12049"
"","","3.7","","4.789","","","","","","39.4","2019-01-29 11:02:00","12049"
"","","3.07","","5.038","","","","","","39.47","2019-01-29 11:12:00","12049"
"","","2.65","","5.616","","","","","","39.47","2019-01-29 11:22:00","12049"
"","","2.27","","6.023","","","","","","39.47","2019-01-29 11:32:00","12049"
"","","3.05","","6.353","","","","","","39.41","2019-01-29 11:42:00","12049"
"","","2.6","","6.564","","","","","","39.41","2019-01-29 11:52:00","12049"
"","","2.2","","6.772","","","","","","39.41","2019-01-29 12:02:00","12049"
"","","3.19","","6.581","","","","","","39.41","2019-01-29 12:12:00","12049"
"","","2.36","","6.292","","","","","","39.38","2019-01-29 12:22:00","12049"
"","","3.55","","6.512","","","","","","39.37","2019-01-29 12:32:00","12049"
"","","2.53","","6.463","","","","","","39.34","2019-01-29 12:42:00","12049"
"","","2.2","","6.434","","","","","","39.34","2019-01-29 12:52:00","12049"
"","","1.98","","6.271","","","","","","39.31","2019-01-29 13:02:00","12049"
"","","2.16","","6.092","","","","","","39.3","2019-01-29 13:12:00","12049"
"","","1.58","","5.938","","","","","","39.3","2019-01-29 13:22:00","12049"
"","","1.02","","5.282","","","","","","39.3","2019-01-29 13:32:00","12049"
"","","1.35","","4.802","","","","","","39.37","2019-01-29 13:42:00","12049"
"","","1.64","","4.322","","","","","","39.37","2019-01-29 13:52:00","12049"
"","","2.46","","4.094","","","","","","39.41","2019-01-29 14:02:00","12049"
"","","7.44","","4.216","","","","","","39.45","2019-01-29 14:12:00","12049"
"","","8.45","","6.324","","","","","","39.45","2019-01-29 14:22:00","12049"
"","","9.41","","9.234","","","","","","39.37","2019-01-29 14:32:00","12049"
"","","7.16","","12.124","","","","","","39.28","2019-01-29 14:42:00","12049"
"","","7.94","","14.806","","","","","","39.2","2019-01-29 14:52:00","12049"
"","","5.93","","17.053","","","","","","39.19","2019-01-29 15:02:00","12049"
"","","6.74","","18.795","","","","","","39.22","2019-01-29 15:12:00","12049"
"","","3.0","","18.18","","","","","","39.22","2019-01-29 15:22:00","12049"
"","","5.63","","17.032","","","","","","39.31","2019-01-29 15:32:00","12049"
"","","8.25","","15.885","","","","","","39.4","2019-01-29 15:42:00","12049"
"","","8.26","","16.011","","","","","","39.48","2019-01-29 15:52:00","12049"
"","","5.25","","16.455","","","","","","39.48","2019-01-29 16:02:00","12049"
"","","5.8","","16.072","","","","","","39.48","2019-01-29 16:12:00","12049"
"","","4.88","","15.795","","","","","","39.48","2019-01-29 16:22:00","12049"
"","","5.96","","15.864","","","","","","39.47","2019-01-29 16:32:00","12049"
"","","4.49","","15.559","","","","","","39.45","2019-01-29 16:42:00","12049"
"","","9.61","","14.627","","","","","","39.41","2019-01-29 16:52:00","12049"
"","","9.77","","15.181","","","","","","39.4","2019-01-29 17:02:00","12049"
"","","9.209","","16.731","","","","","","39.32","2019-01-29 17:12:00","12049"
"","","10.04","","18.571","","","","","","39.23","2019-01-29 17:22:00","12049"
"","","7.489","","19.958","","","","","","39.15","2019-01-29 17:32:00","12049"
"","","5.09","","21.02","","","","","","39.07","2019-01-29 17:42:00","12049"
"","","7.359","","21.59","","","","","","38.98","2019-01-29 17:52:00","12049"
"","","10.129","","20.673","","","","","","38.9","2019-01-29 18:02:00","12049"
"","","5.229","","19.757","","","","","","38.82","2019-01-29 18:12:00","12049"
"","","7.959","","19.02","","","","","","38.73","2019-01-29 18:22:00","12049"
"","","10.579","","18.512","","","","","","38.65","2019-01-29 18:32:00","12049"
"","","11.469","","19.769","","","","","","38.57","2019-01-29 18:42:00","12049"
"","","8.5","","21.08","","","","","","38.48","2019-01-29 18:52:00","12049"
"","","5.81","","21.544","","","","","","38.65","2019-01-29 19:02:00","12049"
"","","5.85","","20.93","","","","","","38.82","2019-01-29 19:12:00","12049"
"","","7.61","","20.072","","","","","","38.92","2019-01-29 19:22:00","12049"
"","","8.68","","19.929","","","","","","38.96","2019-01-29 19:32:00","12049"
"","","11.2","","19.157","","","","","","39.05","2019-01-29 19:42:00","12049"
"","","13.0","","19.409","","","","","","39.05","2019-01-29 19:52:00","12049"
"","","10.74","","20.508","","","","","","39.0","2019-01-29 20:02:00","12049"
"","","2.92","","22.498","","","","","","39.0","2019-01-29 20:12:00","12049"
"","","5.18","","22.226","","","","","","39.17","2019-01-29 20:22:00","12049"
"","","6.319","","21.237","","","","","","39.25","2019-01-29 20:32:00","12049"
"","","6.359","","20.276","","","","","","39.36","2019-01-29 20:42:00","12049"
"","","6.05","","18.289","","","","","","39.43","2019-01-29 20:52:00","12049"
"","","4.949","","16.193","","","","","","39.45","2019-01-29 21:02:00","12049"
"","","3.919","","13.836","","","","","","39.52","2019-01-29 21:12:00","12049"
"","","4.949","","13.742","","","","","","39.68","2019-01-29 21:22:00","12049"
"","","9.23","","13.648","","","","","","39.75","2019-01-29 21:32:00","12049"
"","","10.91","","14.833","","","","","","39.76","2019-01-29 21:42:00","12049"
"","","10.85","","16.677","","","","","","39.81","2019-01-29 21:52:00","12049"
"","","11.33","","18.655","","","","","","39.83","2019-01-29 22:02:00","12049"
"","","10.97","","21.106","","","","","","39.89","2019-01-29 22:12:00","12049"
"","","11.05","","23.589","","","","","","39.89","2019-01-29 22:22:00","12049"
"","","8.6","","26.039","","","","","","39.86","2019-01-29 22:32:00","12049"
"","","10.34","","26.491","","","","","","39.86","2019-01-29 22:42:00","12049"
"","","11.93","","26.284","","","","","","39.88","2019-01-29 22:52:00","12049"
"","","8.66","","26.052","","","","","","39.89","2019-01-29 23:02:00","12049"
"","","6.63","","25.111","","","","","","40.0","2019-01-29 23:12:00","12049"
"","","8.189","","23.947","","","","","","40.05","2019-01-29 23:22:00","12049"
"","","9.95","","22.815","","","","","","40.05","2019-01-29 23:32:00","12049"
"","","10.379","","22.656","","","","","","40.05","2019-01-29 23:42:00","12049"
"","","10.299","","22.64","","","","","","39.98","2019-01-29 23:52:00","12049"
"","","12.649","","22.656","","","","","","39.98","2019-01-30 00:02:00","12049"
"","","7.389","","23.323","","","","","","39.96","2019-01-30 00:12:00","12049"
"","","5.179","","22.997","","","","","","39.96","2019-01-30 00:22:00","12049"
"","","3.809","","21.772","","","","","","39.95","2019-01-30 00:32:00","12049"
"","","6.939","","19.83","","","","","","39.95","2019-01-30 00:42:00","12049"
"","","9.459","","18.463","","","","","","39.95","2019-01-30 00:52:00","12049"
"","","5.739","","17.063","","","","","","39.9","2019-01-30 01:02:00","12049"
"","","8.319","","16.257","","","","","","39.82","2019-01-30 01:12:00","12049"
"","","7.019","","16.106","","","","","","39.73","2019-01-30 01:22:00","12049"
"","","10.059","","17.384","","","","","","39.65","2019-01-30 01:32:00","12049"
"","","9.969","","19.334","","","","","","39.57","2019-01-30 01:42:00","12049"
"","","8.209","","20.567","","","","","","39.48","2019-01-30 01:52:00","12049"
"","","7.159","","21.084","","","","","","39.4","2019-01-30 02:02:00","12049"
"","","3.539","","20.612","","","","","","39.32","2019-01-30 02:12:00","12049"
"","","5.889","","20.152","","","","","","39.23","2019-01-30 02:22:00","12049"
"","","6.669","","19.163","","","","","","39.15","2019-01-30 02:32:00","12049"
"","","5.919","","17.514","","","","","","39.13","2019-01-30 02:42:00","12049"
"","","5.889","","15.866","","","","","","39.36","2019-01-30 02:52:00","12049"
"","","6.849","","14.934","","","","","","39.54","2019-01-30 03:02:00","12049"
"","","10.03","","14.808","","","","","","39.6","2019-01-30 03:12:00","12049"
"","","7.59","","15.5","","","","","","39.6","2019-01-30 03:22:00","12049"
"","","6.979","","16.192","","","","","","39.6","2019-01-30 03:32:00","12049"
"","","7.02","","16.641","","","","","","39.58","2019-01-30 03:42:00","12049"
"","","5.609","","17.072","","","","","","39.58","2019-01-30 03:52:00","12049"
"","","5.43","","16.946","","","","","","39.57","2019-01-30 04:02:00","12049"
"","","5.529","","16.409","","","","","","39.57","2019-01-30 04:12:00","12049"
"","","9.93","","15.57","","","","","","39.67","2019-01-30 04:22:00","12049"
"","","12.19","","16.522","","","","","","39.67","2019-01-30 04:32:00","12049"
"","","11.5","","18.345","","","","","","39.67","2019-01-30 04:42:00","12049"
"","","9.76","","20.185","","","","","","39.67","2019-01-30 04:52:00","12049"
"","","10.18","","22.046","","","","","","39.67","2019-01-30 05:02:00","12049"
"","","9.68","","23.768","","","","","","39.67","2019-01-30 05:12:00","12049"
"","","8.379","","25.457","","","","","","39.67","2019-01-30 05:22:00","12049"
"","","10.069","","25.356","","","","","","39.65","2019-01-30 05:32:00","12049"
"","","5.459","","24.085","","","","","","39.65","2019-01-30 05:42:00","12049"
"","","7.959","","22.644","","","","","","39.65","2019-01-30 05:52:00","12049"
"","","6.219","","21.032","","","","","","39.65","2019-01-30 06:02:00","12049"
"","","8.219","","20.299","","","","","","39.65","2019-01-30 06:12:00","12049"
"","","6.579","","19.037","","","","","","39.64","2019-01-30 06:22:00","12049"
"","","9.669","","18.442","","","","","","39.61","2019-01-30 06:32:00","12049"
"","","7.969","","18.275","","","","","","39.58","2019-01-30 06:42:00","12049"
"","","9.839","","18.971","","","","","","39.58","2019-01-30 06:52:00","12049"
"","","7.759","","19.684","","","","","","39.58","2019-01-30 07:02:00","12049"
"","","9.029","","20.119","","","","","","39.52","2019-01-30 07:12:00","12049"
"","","7.699","","20.599","","","","","","39.52","2019-01-30 07:22:00","12049"
"","","11.849","","20.929","","","","","","39.52","2019-01-30 07:32:00","12049"
"","","6.179","","20.819","","","","","","39.48","2019-01-30 07:42:00","12049"
"","","8.609","","20.388","","","","","","39.4","2019-01-30 07:52:00","12049"
"","","4.779","","19.659","","","","","","39.34","2019-01-30 08:02:00","12049"
"","","4.719","","17.929","","","","","","39.34","2019-01-30 08:12:00","12049"
"","","3.95","","16.692","","","","","","39.37","2019-01-30 08:22:00","12049"
"","","3.88","","14.625","","","","","","39.37","2019-01-30 08:32:00","12049"
"","","8.18","","13.099","","","","","","39.36","2019-01-30 08:42:00","12049"
"","","7.0","","12.444","","","","","","39.33","2019-01-30 08:52:00","12049"
"","","8.89","","13.259","","","","","","39.25","2019-01-30 09:02:00","12049"
"","","10.62","","14.932","","","","","","39.16","2019-01-30 09:12:00","12049"
"","","8.0","","16.63","","","","","","39.08","2019-01-30 09:22:00","12049"
"","","7.16","","18.278","","","","","","39.07","2019-01-30 09:32:00","12049"
"","","8.75","","19.926","","","","","","39.1","2019-01-30 09:42:00","12049"
"","","3.11","","19.991","","","","","","39.19","2019-01-30 09:52:00","12049"
"","","1.77","","17.928","","","","","","39.27","2019-01-30 10:02:00","12049"
"","","4.23","","15.575","","","","","","39.29","2019-01-30 10:12:00","12049"
"","","7.17","","13.679","","","","","","39.34","2019-01-30 10:22:00","12049"
"","","6.1","","12.905","","","","","","39.41","2019-01-30 10:32:00","12049"
"","","5.289","","12.132","","","","","","39.47","2019-01-30 10:42:00","12049"
"","","4.869","","11.371","39.58","","","-7.0e-2","","39.51","2019-01-30 10:52:00","12049"
"","","5.52","","12.258","39.58","","","-7.0e-2","","39.51","2019-01-30 11:02:00","12049"
"","","7.649","","13.238","39.58","","","-9.0e-3","","39.57","2019-01-30 11:12:00","12049"
"","","6.31","","14.085","39.58","","","0.0","","39.58","2019-01-30 11:22:00","12049"
"","","4.5","","14.17","39.58","","","3.0e-2","","39.61","2019-01-30 11:32:00","12049"
"","","8.52","","14.256","39.58","","","3.0e-2","","39.61","2019-01-30 11:42:00","12049"
"","","10.12","","15.571","39.58","","","0.0","","39.58","2019-01-30 11:52:00","12049"
"","","8.67","","16.947","39.58","","","-7.9e-2","","39.5","2019-01-30 12:02:00","12049"
"","","3.979","","18.229","39.58","","","-0.14","","39.44","2019-01-30 12:12:00","12049"
"","","4.1","","17.33","39.58","","","-0.14","","39.44","2019-01-30 12:22:00","12049"
"","","4.699","","16.43","39.58","","","-7.0e-2","","39.51","2019-01-30 12:32:00","12049"
"","","3.659","","15.531","39.58","","","9.0e-2","","39.67","2019-01-30 12:42:00","12049"
"","","10.11","","13.975","39.58","","","0.16","","39.74","2019-01-30 12:52:00","12049"
"","","10.649","","14.562","39.58","","","0.16","","39.74","2019-01-30 13:02:00","12049"
"","","8.669","","15.148","39.58","","","0.109","","39.69","2019-01-30 13:12:00","12049"
"","","6.509","","17.007","39.58","","","3.0e-2","","39.61","2019-01-30 13:22:00","12049"
"","","8.0","","18.627","39.58","","","-5.9e-2","","39.52","2019-01-30 13:32:00","12049"
"","","6.95","","19.754","39.58","","","-0.14","","39.44","2019-01-30 13:42:00","12049"
"","","6.23","","20.671","39.58","","","-0.219","","39.36","2019-01-30 13:52:00","12049"
"","","11.75","","19.385","39.58","","","-0.309","","39.27","2019-01-30 14:02:00","12049"
"","","7.43","","18.294","39.58","","","-0.39","","39.19","2019-01-30 14:12:00","12049"
"","","4.199","","17.789","39.58","","","-0.469","","39.11","2019-01-30 14:22:00","12049"
"","","4.019","","16.242","39.58","","","-0.559","","39.02","2019-01-30 14:32:00","12049"
"","","4.909","","15.123","39.58","","","-0.64","","38.94","2019-01-30 14:42:00","12049"
"","","5.009","","14.292","39.58","","","-0.359","","39.22","2019-01-30 14:52:00","12049"
"","","5.839","","13.502","39.58","","","-0.129","","39.45","2019-01-30 15:02:00","12049"
"","","5.259","","12.619","39.58","","","-9.0e-3","","39.57","2019-01-30 15:12:00","12049"
"","","4.699","","11.735","39.58","","","0.0","","39.58","2019-01-30 15:22:00","12049"
"","","5.879","","12.166","39.58","","","0.0","","39.58","2019-01-30 15:32:00","12049"
"","","5.039","","12.508","39.58","","","3.9e-2","","39.62","2019-01-30 15:42:00","12049"
"","","4.469","","12.561","39.58","","","0.16","","39.74","2019-01-30 15:52:00","12049"
"","","4.739","","12.451","39.58","","","0.3","","39.88","2019-01-30 16:02:00","12049"
"","","9.119","","12.24","39.58","","","0.399","","39.98","2019-01-30 16:12:00","12049"
"","","7.449","","13.131","39.58","","","0.42","","40.0","2019-01-30 16:22:00","12049"
"","","5.779","","14.022","39.58","","","0.42","","40.0","2019-01-30 16:32:00","12049"
"","","5.219","","14.323","39.58","","","0.38","","39.96","2019-01-30 16:42:00","12049"
"","","6.199","","14.625","39.6","","","0.299","","39.9","2019-01-30 16:52:00","12049"
"","","7.079","","15.219","39.6","","","0.299","","39.9","2019-01-30 17:02:00","12049"
"","","4.809","","15.813","39.6","","","0.299","","39.9","2019-01-30 17:12:00","12049"
"","","4.439","","14.739","39.6","","","0.25","","39.85","2019-01-30 17:22:00","12049"
