,Unnamed: 0,datesql,Animal_ID,Group_ID,Lactation_Num,DIM,AnimalStatus,Gynecology_Status,Yield(gr),ProdRate(gr/hr),Fat(%),Avg_Fat(%),Protein(%),Avg_Protein(%),Lactose,Avg_Lactose(%),Conductivity,Avg_Conductivity,Milking_Time(seconds),Avg_Milking_Time(seconds),Activity(steps/hr),ActivityDeviation(%),RestBout(#),RestPerBout(min),RestRatio(%),RestRestlessness,RestTime(min),Weight(gr),monetary_worth
72687,149232,2018-02-06,1476396796,97,2,300,Milk,Not for Insemination,27746.0,1156.0,4.51,4.28,3.36,3.45,4.37,4.44,10.4,9.7,221.0,189.0,177.0,6.0,10.0,77.0,49.0,28.0,769.0,0.0,9656.818463678526
72688,149233,2018-02-06,1476396797,97,5,186,Milk,Pregnant,19144.0,797.0,3.21,3.32,3.09,3.05,3.93,4.0,11.5,11.2,163.0,159.0,89.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5319.711579137811
72689,149234,2018-02-06,1476396798,97,1,156,Milk,Not for Insemination,17406.0,725.0,2.35,2.71,2.97,2.57,4.17,3.52,11.3,11.1,363.0,275.0,275.0,19.0,9.0,40.0,25.0,82.0,360.0,0.0,4936.716125948812
72691,149236,2018-02-06,1476396800,97,2,139,Milk,Pregnant,41027.0,1709.0,2.97,2.53,3.19,2.65,4.19,3.65,9.7,10.1,255.0,271.0,140.0,16.0,14.0,50.0,48.0,23.0,694.0,0.0,11555.166806125038
72693,149238,2018-02-06,1476396802,97,6,132,Milk,Not for Insemination,34761.0,1448.0,2.89,2.83,3.36,3.03,4.0,3.9,11.6,10.9,249.0,213.0,128.0,-1.0,15.0,60.0,58.0,16.0,901.0,0.0,11485.430443639416
72696,149242,2018-02-06,1476396806,97,5,173,Milk,Not for Insemination,25952.0,1081.0,3.46,3.46,2.97,2.93,4.28,4.26,11.9,11.3,149.0,149.0,124.0,-11.0,8.0,103.0,57.0,18.0,823.0,0.0,4914.467842781056
72697,149244,2018-02-06,1476396808,97,4,256,Milk,Not for Insemination,29348.0,1222.0,4.92,3.69,3.47,3.0,4.17,3.71,11.9,12.2,227.0,178.0,142.0,8.0,18.0,46.0,55.0,18.0,829.0,0.0,8547.073089227111
72699,149246,2018-02-06,1476396810,97,4,59,Milk,Not for Insemination,21713.0,904.0,4.17,4.09,2.97,2.8,4.41,4.32,10.1,10.0,148.0,142.0,142.0,4.0,9.0,52.0,30.0,42.0,469.0,0.0,5041.153382758491
72701,149248,2018-02-06,1476396812,97,4,248,Milk,Not for Insemination,31090.0,1295.0,3.82,3.71,3.26,3.14,4.5,4.49,9.3,8.8,209.0,193.0,210.0,9.0,8.0,66.0,37.0,48.0,532.0,0.0,9014.564921711695
72703,149250,2018-02-06,1476396814,97,3,251,Milk,Not for Insemination,24838.0,1034.0,3.7,3.25,2.97,3.0,4.48,4.49,10.3,10.3,139.0,138.0,170.0,-7.0,7.0,103.0,54.0,25.0,718.0,0.0,7544.055284005739
72705,149254,2018-02-06,1476396818,97,2,125,Milk,Pregnant,29190.0,1216.0,4.68,4.33,3.06,3.34,4.58,4.26,10.9,11.7,227.0,203.0,122.0,7.0,12.0,63.0,53.0,18.0,760.0,0.0,10653.165929620442
72708,149258,2018-02-06,1476396822,97,2,261,Milk,Pregnant,5296.0,623.0,4.27,2.92,3.19,2.93,4.14,3.73,9.3,9.7,193.0,163.0,80.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4630.164613947632
72710,149262,2018-02-06,1476396826,97,2,216,Milk,Not for Insemination,18988.0,791.0,3.79,3.37,3.34,3.04,4.45,4.1,9.9,10.5,149.0,156.0,156.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3559.2441063807973
72711,149264,2018-02-06,1476396828,97,2,55,Milk,Fresh (Calving),13229.0,779.0,3.29,3.18,3.12,2.96,4.34,4.26,10.6,10.6,172.0,217.0,192.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5791.596660625976
72713,149266,2018-02-06,1476396830,97,2,81,Milk,Insemination,15095.0,1780.0,3.32,3.44,3.09,2.86,4.27,4.46,12.5,11.1,256.0,238.0,90.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,10000.13215584806
72717,149272,2018-02-06,1476396838,97,2,192,Milk,Pregnant,11079.0,461.0,2.23,2.16,2.37,2.33,3.37,3.53,17.0,15.8,129.0,134.0,198.0,51.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1688.230205462085
72718,149273,2018-02-06,1476396840,97,1,150,Milk,Pregnant,11063.0,460.0,3.56,3.21,3.13,2.73,4.45,3.96,9.3,8.8,181.0,164.0,133.0,-21.0,11.0,81.0,62.0,18.0,889.0,0.0,2579.889135563819
72720,149277,2018-02-06,1476396846,97,1,58,Milk,Not for Insemination,8502.0,354.0,2.85,2.12,2.47,2.08,3.93,3.28,12.3,12.8,253.0,191.0,354.0,18.0,13.0,46.0,41.0,53.0,598.0,0.0,1352.6782915409465
72722,149281,2018-02-06,1476396850,97,1,38,Milk,Not for Insemination,13316.0,554.0,2.82,2.37,3.11,2.68,4.13,3.69,11.5,10.3,319.0,179.0,197.0,10.0,12.0,64.0,53.0,25.0,763.0,0.0,3476.448950335104
74026,150843,2018-03-06,1476396796,97,2,301,Milk,Not for Insemination,10303.0,1214.0,4.08,4.47,3.34,3.57,4.41,4.56,10.2,9.8,213.0,187.0,153.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,8236.895426652225
