,Unnamed: 0,datesql,Animal_ID,Group_ID,Lactation_Num,DIM,AnimalStatus,Gynecology_Status,Yield(gr),ProdRate(gr/hr),Fat(%),Avg_Fat(%),Protein(%),Avg_Protein(%),Lactose,Avg_Lactose(%),Conductivity,Avg_Conductivity,Milking_Time(seconds),Avg_Milking_Time(seconds),Activity(steps/hr),ActivityDeviation(%),RestBout(#),RestPerBout(min),RestRatio(%),RestRestlessness,RestTime(min),Weight(gr),monetary_worth
4006,65336,2018-11-04,2663,11,1,290,Dry,Pregnant,8656.0,675.0,3.97,3.54,3.16,3.19,4.32,2.82,10.0,9.6,131.0,135.0,328.0,79.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4262.70190370952
4009,65339,2018-11-04,2695,11,1,240,Dry,Pregnant,11030.0,803.0,3.64,2.68,3.53,2.98,4.52,2.41,9.2,8.8,187.0,146.0,194.0,111.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4314.885466246973
4042,65379,2018-11-04,4315,11,2,344,Dry,Pregnant,4820.0,434.0,3.79,2.87,3.03,2.97,3.79,2.61,14.4,12.4,130.0,137.0,244.0,144.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3267.831491044164
4261,65650,2018-11-04,8722,11,2,373,Dry,Pregnant,6809.0,573.0,3.92,2.79,2.9,2.72,3.76,2.6,10.6,10.5,134.0,139.0,175.0,59.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3849.521229802092
4364,65785,2018-11-04,9299,11,2,233,Dry,Pregnant,8079.0,558.0,4.44,3.66,3.07,3.19,4.16,2.57,13.5,10.9,134.0,133.0,361.0,225.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2868.9022410283524
4365,65786,2018-11-04,9300,11,2,222,Dry,Pregnant,10119.0,713.0,4.58,3.65,3.33,3.07,4.33,3.39,10.9,9.6,178.0,135.0,216.0,167.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5347.077082886886
4525,65999,2018-11-04,9825,11,1,279,Dry,Pregnant,7280.0,487.0,3.94,3.35,2.88,2.5,4.64,3.55,9.3,9.6,134.0,135.0,256.0,115.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2968.2202000473626
5150,66715,2018-11-04,1476397202,11,2,269,Dry,Pregnant,4749.0,339.0,3.95,2.44,2.83,2.61,3.75,2.16,13.1,13.2,134.0,130.0,375.0,162.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1654.4186698367816
5226,66807,2018-11-04,1476397315,11,2,279,Dry,Pregnant,6215.0,563.0,5.0,4.1,3.09,3.37,3.91,2.79,13.1,11.2,130.0,141.0,286.0,123.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4798.219102381305
12028,75114,2018-04-17,8924,11,2,263,Dry,Pregnant,11944.0,497.0,4.17,3.85,3.35,3.04,4.15,3.97,10.3,10.1,133.0,137.0,101.0,-1.0,4.0,82.0,69.0,15.0,330.0,0.0,2276.3593123884734
