,act_heat_index,act_heat_index_smart,animal_activity,heat_index,low_pass_over_activity,percentile60_of_5day_temp,stomach_temp,temp_dec_index,temp_height_index,temp_inc_index,temp_without_drink_cycles,time,CowID
0,,,0.0,,0.0,,,,,,,2018-10-10 15:25:00,8157
1,,,5.17,,3.156,,,,,,,2018-10-10 15:35:00,8157
2,,,3.74,,5.148,,,,,,,2018-10-10 15:45:00,8157
3,,,2.51,,6.144,,,,,,39.46,2018-10-10 15:55:00,8157
4,,,2.32,,6.141,,,,,,39.64,2018-10-10 16:05:00,8157
5,,,6.22,,6.139,,,,,,39.64,2018-10-10 16:15:00,8157
6,,,4.89,,8.129,,,,,,39.56,2018-10-10 16:25:00,8157
7,,,2.71,,9.067,,,,,,39.47,2018-10-10 16:35:00,8157
8,,,3.77,,9.08,,,,,,39.4,2018-10-10 16:45:00,8157
9,,,3.77,,9.092,,,,,,39.79,2018-10-10 16:55:00,8157
10,,,3.08,,9.605,,,,,,39.91,2018-10-10 17:05:00,8157
11,,,4.46,,10.118,,,,,,40.03,2018-10-10 17:15:00,8157
12,,,5.66,,9.943,,,,,,40.03,2018-10-10 17:25:00,8157
13,,,4.76,,9.89,,,,,,40.03,2018-10-10 17:35:00,8157
14,,,5.07,,10.419,,,,,,39.95,2018-10-10 17:45:00,8157
15,,,6.45,,10.948,,,,,,39.87,2018-10-10 17:55:00,8157
16,,,5.52,,11.66,,,,,,39.78,2018-10-10 18:05:00,8157
17,,,3.66,,12.372,,,,,,39.7,2018-10-10 18:15:00,8157
18,,,3.37,,12.047,,,,,,39.62,2018-10-10 18:25:00,8157
19,,,4.94,,11.599,,,,,,39.53,2018-10-10 18:35:00,8157
20,,,5.9,,11.546,,,,,,39.49,2018-10-10 18:45:00,8157
21,,,5.92,,11.884,,,,,,39.49,2018-10-10 18:55:00,8157
22,,,7.39,,12.047,,,,,,39.41,2018-10-10 19:05:00,8157
23,,,6.43,,12.417,,,,,,39.32,2018-10-10 19:15:00,8157
24,,,4.699,,13.544,,,,,,39.24,2018-10-10 19:25:00,8157
25,,,6.939,,14.672,,,,,,39.31,2018-10-10 19:35:00,8157
26,,,1.929,,14.574,,,,,,39.55,2018-10-10 19:45:00,8157
27,,,2.739,,13.287,,,,,,39.61,2018-10-10 19:55:00,8157
28,,,3.44,,11.993,,,,,,39.67,2018-10-10 20:05:00,8157
29,,,2.66,,10.49,,,,,,39.73,2018-10-10 20:15:00,8157
30,,,4.71,,9.273,,,,,,39.94,2018-10-10 20:25:00,8157
