,act_heat_index,act_heat_index_smart,animal_activity,heat_index,low_pass_over_activity,percentile60_of_5day_temp,stomach_temp,temp_dec_index,temp_height_index,temp_inc_index,temp_without_drink_cycles,time,CowID
0,,,0.0,,0.0,,,,,,,2019-01-09 15:05:00,11020
1,,,5.42,,3.308,,,,,,,2019-01-09 15:15:00,11020
2,,,1.36,,3.312,,,,,,,2019-01-09 15:25:00,11020
3,,,1.32,,3.315,,,,,,37.15,2019-01-09 15:35:00,11020
4,,,1.27,,3.296,,,,,,37.82,2019-01-09 15:45:00,11020
5,,,3.02,,3.284,,,,,,38.23,2019-01-09 15:55:00,11020
6,,,8.75,,4.513,,,,,,38.23,2019-01-09 16:05:00,11020
7,,,7.55,,6.483,,,,,,38.15,2019-01-09 16:15:00,11020
8,,,12.84,,9.491,,,,,,38.06,2019-01-09 16:25:00,11020
9,,,6.25,,12.01,,,,,,37.98,2019-01-09 16:35:00,11020
10,,,6.26,,14.021,,,,,,37.9,2019-01-09 16:45:00,11020
11,,,4.08,,16.027,,,,,,37.81,2019-01-09 16:55:00,11020
12,,,8.66,,17.346,,,,,,37.75,2019-01-09 17:05:00,11020
13,,,6.16,,16.78,,,,,,38.27,2019-01-09 17:15:00,11020
14,,,5.85,,15.726,,,,,,38.59,2019-01-09 17:25:00,11020
15,,,5.22,,15.034,,,,,,38.75,2019-01-09 17:35:00,11020
16,,,6.12,,14.867,,,,,,38.95,2019-01-09 17:45:00,11020
17,,,5.24,,14.456,,,,,,39.11,2019-01-09 17:55:00,11020
18,,,5.38,,14.098,,,,,,39.23,2019-01-09 18:05:00,11020
19,,,9.69,,13.781,,,,,,39.36,2019-01-09 18:15:00,11020
20,,,7.88,,14.481,,,,,,39.4,2019-01-09 18:25:00,11020
21,,,5.41,,15.307,,,,,,39.44,2019-01-09 18:35:00,11020
22,,,7.64,,16.035,,,,,,39.46,2019-01-09 18:45:00,11020
23,,,4.99,,16.105,,,,,,39.54,2019-01-09 18:55:00,11020
