,act_heat_index,act_heat_index_smart,animal_activity,heat_index,low_pass_over_activity,percentile60_of_5day_temp,stomach_temp,temp_dec_index,temp_height_index,temp_inc_index,temp_without_drink_cycles,time,CowID
0,,,0.0,,0.0,,,,,,,2019-01-09 15:32:00,9539
1,,,9.37,,5.72,,,,,,,2019-01-09 15:42:00,9539
2,,,9.42,,11.44,,,,,,,2019-01-09 15:52:00,9539
3,,,26.42,,14.331,,,,,,38.57,2019-01-09 16:02:00,9539
4,,,13.16,,17.892,,,,,,39.13,2019-01-09 16:12:00,9539
5,,,10.73,,20.266,,,,,,39.26,2019-01-09 16:22:00,9539
6,,,6.02,,24.633,,,,,,39.32,2019-01-09 16:32:00,9539
7,,,4.58,,25.177,,,,,,39.36,2019-01-09 16:42:00,9539
8,,,4.88,,23.349,,,,,,39.36,2019-01-09 16:52:00,9539
9,,,7.96,,21.501,,,,,,39.47,2019-01-09 17:02:00,9539
10,,,9.48,,19.385,,,,,,39.5,2019-01-09 17:12:00,9539
11,,,5.65,,17.269,,,,,,39.5,2019-01-09 17:22:00,9539
12,,,5.07,,15.201,,,,,,39.5,2019-01-09 17:32:00,9539
13,,,5.01,,14.814,,,,,,39.56,2019-01-09 17:42:00,9539
14,,,7.89,,14.892,,,,,,39.61,2019-01-09 17:52:00,9539
15,,,9.9,,16.117,,,,,,39.61,2019-01-09 18:02:00,9539
16,,,2.92,,16.088,,,,,,39.61,2019-01-09 18:12:00,9539
17,,,2.929,,14.041,,,,,,39.61,2019-01-09 18:22:00,9539
18,,,2.119,,12.929,,,,,,39.67,2019-01-09 18:32:00,9539
19,,,2.019,,11.728,,,,,,39.81,2019-01-09 18:42:00,9539
20,,,0.849,,10.487,,,,,,39.97,2019-01-09 18:52:00,9539
21,,,1.799,,8.008,,,,,,40.0,2019-01-09 19:02:00,9539
22,,,3.139,,5.529,,,,,,40.07,2019-01-09 19:12:00,9539
23,,,5.02,,5.614,,,,,,40.07,2019-01-09 19:22:00,9539
24,,,6.149,,6.469,,,,,,40.07,2019-01-09 19:32:00,9539
25,,,6.6,,8.109,,,,,,39.99,2019-01-09 19:42:00,9539
26,,,4.11,,9.79,,,,,,39.9,2019-01-09 19:52:00,9539
27,,,2.6,,10.73,,,,,,39.87,2019-01-09 20:02:00,9539
28,,,1.47,,11.056,,,,,,39.95,2019-01-09 20:12:00,9539
29,,,3.74,,10.837,,,,,,40.01,2019-01-09 20:22:00,9539
30,,,3.64,,10.275,,,,,,40.01,2019-01-09 20:32:00,9539
31,,,8.34,,9.295,,,,,,39.93,2019-01-09 20:42:00,9539
32,,,7.08,,9.674,,,,,,39.84,2019-01-09 20:52:00,9539
33,,,5.68,,10.883,,,,,,39.76,2019-01-09 21:02:00,9539
34,,,4.77,,12.136,,,,,,39.68,2019-01-09 21:12:00,9539
35,,,4.26,,13.019,,,,,,39.59,2019-01-09 21:22:00,9539
36,,,5.62,,13.479,,,,,,39.51,2019-01-09 21:32:00,9539
37,,,3.22,,13.691,,,,,,39.43,2019-01-09 21:42:00,9539
38,,,3.42,,12.201,,,,,,39.34,2019-01-09 21:52:00,9539
39,,,4.019,,10.712,,,,,,39.37,2019-01-09 22:02:00,9539
40,,,3.48,,9.816,,,,,,39.61,2019-01-09 22:12:00,9539
41,,,4.24,,9.511,,,,,,39.85,2019-01-09 22:22:00,9539
42,,,4.25,,9.295,,,,,,39.91,2019-01-09 22:32:00,9539
43,,,3.42,,9.287,,,,,,40.01,2019-01-09 22:42:00,9539
44,,,3.21,,9.287,,,,,,40.07,2019-01-09 22:52:00,9539
45,,,3.37,,9.266,,,,,,40.19,2019-01-09 23:02:00,9539
46,,,3.83,,9.222,,,,,,40.23,2019-01-09 23:12:00,9539
47,,,4.43,,9.145,,,,,,40.31,2019-01-09 23:22:00,9539
48,,,2.51,,8.978,,,,,,40.31,2019-01-09 23:32:00,9539
