,act_heat_index,act_heat_index_smart,animal_activity,heat_index,low_pass_over_activity,percentile60_of_5day_temp,stomach_temp,temp_dec_index,temp_height_index,temp_inc_index,temp_without_drink_cycles,time,CowID
0,,,0.0,,0.0,,,,,,,2018-05-30 17:07:00,9738
1,,,5.22,,3.186,,,,,,,2018-05-30 17:17:00,9738
2,,,6.52,,6.373,,,,,,,2018-05-30 17:27:00,9738
3,,,7.979,,8.76,,,,,,38.29,2018-05-30 17:37:00,9738
4,,,5.89,,10.192,,,,,,38.29,2018-05-30 17:47:00,9738
5,,,5.75,,10.891,,,,,,38.29,2018-05-30 17:57:00,9738
6,,,4.09,,13.231,,,,,,38.92,2018-05-30 18:07:00,9738
7,,,1.589,,13.833,,,,,,39.28,2018-05-30 18:17:00,9738
8,,,2.469,,12.714,,,,,,39.37,2018-05-30 18:27:00,9738
9,,,2.32,,11.004,,,,,,39.49,2018-05-30 18:37:00,9738
10,,,1.339,,9.295,,,,,,39.64,2018-05-30 18:47:00,9738
11,,,1.289,,7.443,,,,,,39.76,2018-05-30 18:57:00,9738
12,,,2.929,,5.647,,,,,,39.88,2018-05-30 19:07:00,9738
13,,,4.979,,5.175,,,,,,39.97,2018-05-30 19:17:00,9738
14,,,7.77,,6.196,,,,,,39.97,2018-05-30 19:27:00,9738
15,,,5.359,,7.433,,,,,,39.91,2018-05-30 19:37:00,9738
16,,,6.069,,8.959,,,,,,39.88,2018-05-30 19:47:00,9738
17,,,6.199,,10.884,,,,,,39.8,2018-05-30 19:57:00,9738
18,,,3.379,,12.809,,,,,,39.72,2018-05-30 20:07:00,9738
19,,,3.659,,13.107,,,,,,39.63,2018-05-30 20:17:00,9738
20,,,4.038,,12.569,,,,,,39.55,2018-05-30 20:27:00,9738
21,,,1.829,,11.877,,,,,,39.47,2018-05-30 20:37:00,9738
22,,,1.529,,10.152,,,,,,39.58,2018-05-30 20:47:00,9738
23,,,1.999,,8.426,,,,,,39.76,2018-05-30 20:57:00,9738
24,,,1.989,,6.765,,,,,,39.88,2018-05-30 21:07:00,9738
25,,,1.809,,6.086,,,,,,40.0,2018-05-30 21:17:00,9738
26,,,1.359,,5.333,,,,,,40.1,2018-05-30 21:27:00,9738
27,,,1.449,,4.433,,,,,,40.16,2018-05-30 21:37:00,9738
28,,,1.729,,4.279,,,,,,40.25,2018-05-30 21:47:00,9738
29,,,3.39,,4.238,,,,,,40.28,2018-05-30 21:57:00,9738
30,,,2.1,,4.283,,,,,,40.31,2018-05-30 22:07:00,9738
31,,,3.75,,4.853,,,,,,40.31,2018-05-30 22:17:00,9738
32,,,3.27,,5.448,,,,,,40.31,2018-05-30 22:27:00,9738
33,,,1.59,,6.189,,,,,,40.31,2018-05-30 22:37:00,9738
34,,,1.81,,6.336,,,,,,40.31,2018-05-30 22:47:00,9738
35,,,1.58,,6.28,,,,,,40.43,2018-05-30 22:57:00,9738
36,,,1.48,,6.068,,,,,,40.55,2018-05-30 23:07:00,9738
37,,,2.44,,5.331,,,,,,40.55,2018-05-30 23:17:00,9738
38,,,2.67,,4.993,,,,,,40.47,2018-05-30 23:27:00,9738
39,,,4.03,,4.749,,,,,,40.39,2018-05-30 23:37:00,9738
40,,,4.27,,5.653,,,,,,40.3,2018-05-30 23:47:00,9738
41,,,4.14,,6.691,,,,,,40.22,2018-05-30 23:57:00,9738
42,,,3.12,,7.733,,,,,,40.14,2018-05-31 00:07:00,9738
43,,,3.53,,8.526,,,,,,40.05,2018-05-31 00:17:00,9738
44,,,2.29,,8.803,,,,,,39.97,2018-05-31 00:27:00,9738
45,,,1.69,,8.648,,,,,,39.94,2018-05-31 00:37:00,9738
46,,,1.58,,7.696,,,,,,40.03,2018-05-31 00:47:00,9738
47,,,1.56,,6.654,,,,,,40.16,2018-05-31 00:57:00,9738
48,,,4.04,,5.612,,,,,,40.19,2018-05-31 01:07:00,9738
49,,,3.43,,5.571,,,,,,40.19,2018-05-31 01:17:00,9738
50,,,2.71,,5.698,,,,,,40.1,2018-05-31 01:27:00,9738
51,,,2.79,,5.901,,,,,,40.06,2018-05-31 01:37:00,9738
52,,,3.28,,6.349,,,,,,40.06,2018-05-31 01:47:00,9738
53,,,3.1,,6.967,,,,,,40.16,2018-05-31 01:57:00,9738
54,,,3.04,,7.586,,,,,,40.22,2018-05-31 02:07:00,9738
55,,,2.32,,7.427,,,,,,40.37,2018-05-31 02:17:00,9738
56,,,3.35,,7.269,,,,,,40.49,2018-05-31 02:27:00,9738
57,,,2.2,,7.077,,,,,,40.52,2018-05-31 02:37:00,9738
58,,,1.99,,6.837,,,,,,40.55,2018-05-31 02:47:00,9738
59,,,3.25,,6.471,,,,,,40.52,2018-05-31 02:57:00,9738
