,act_heat_index,act_heat_index_smart,animal_activity,heat_index,low_pass_over_activity,percentile60_of_5day_temp,stomach_temp,temp_dec_index,temp_height_index,temp_inc_index,temp_without_drink_cycles,time,CowID
0,,,0.0,,0.0,,,,,,,2018-12-19 16:19:00,9460
1,,,4.6,,2.808,,,,,,,2018-12-19 16:29:00,9460
2,,,4.149,,5.249,,,,,,,2018-12-19 16:39:00,9460
3,,,11.09,,6.745,,,,,,35.81,2018-12-19 16:49:00,9460
4,,,4.75,,7.716,,,,,,35.81,2018-12-19 16:59:00,9460
5,,,4.3,,8.363,,,,,,37.64,2018-12-19 17:09:00,9460
6,,,5.1,,10.296,,,,,,38.74,2018-12-19 17:19:00,9460
7,,,4.229,,11.11,,,,,,39.37,2018-12-19 17:29:00,9460
8,,,1.639,,11.143,,,,,,39.4,2018-12-19 17:39:00,9460
9,,,1.669,,9.95,,,,,,39.58,2018-12-19 17:49:00,9460
10,,,4.729,,8.696,,,,,,39.79,2018-12-19 17:59:00,9460
11,,,4.88,,8.687,,,,,,39.79,2018-12-19 18:09:00,9460
12,,,4.26,,8.679,,,,,,39.82,2018-12-19 18:19:00,9460
13,,,3.11,,8.663,,,,,,40.06,2018-12-19 18:29:00,9460
14,,,4.64,,8.675,,,,,,40.22,2018-12-19 18:39:00,9460
15,,,5.05,,9.884,,,,,,40.22,2018-12-19 18:49:00,9460
16,,,5.25,,11.26,,,,,,40.13,2018-12-19 18:59:00,9460
17,,,4.99,,11.391,,,,,,40.05,2018-12-19 19:09:00,9460
18,,,3.01,,11.497,,,,,,40.16,2018-12-19 19:19:00,9460
19,,,4.04,,11.408,,,,,,40.46,2018-12-19 19:29:00,9460
20,,,3.16,,10.96,,,,,,40.77,2018-12-19 19:39:00,9460
21,,,2.9,,10.358,,,,,,40.77,2018-12-19 19:49:00,9460
22,,,1.98,,9.483,,,,,,40.68,2018-12-19 19:59:00,9460
23,,,3.15,,8.608,,,,,,40.6,2018-12-19 20:09:00,9460
24,,,3.34,,7.859,,,,,,40.52,2018-12-19 20:19:00,9460
25,,,4.88,,7.574,,,,,,40.43,2018-12-19 20:29:00,9460
26,,,2.17,,7.647,,,,,,40.8,2018-12-19 20:39:00,9460
27,,,2.64,,7.435,,,,,,41.04,2018-12-19 20:49:00,9460
28,,,1.72,,7.138,,,,,,41.2,2018-12-19 20:59:00,9460
29,,,1.98,,6.764,,,,,,41.23,2018-12-19 21:09:00,9460
30,,,2.07,,6.288,,,,,,41.32,2018-12-19 21:19:00,9460
31,,,2.9,,5.771,,,,,,41.48,2018-12-19 21:29:00,9460
32,,,2.75,,5.531,,,,,,41.57,2018-12-19 21:39:00,9460
33,,,2.36,,5.575,,,,,,41.63,2018-12-19 21:49:00,9460
34,,,2.12,,5.653,,,,,,41.66,2018-12-19 21:59:00,9460
35,,,1.8,,5.71,,,,,,41.7,2018-12-19 22:09:00,9460
36,,,2.77,,5.767,,,,,,41.7,2018-12-19 22:19:00,9460
37,,,3.67,,6.052,,,,,,41.73,2018-12-19 22:29:00,9460
38,,,2.639,,6.06,,,,,,41.73,2018-12-19 22:39:00,9460
39,,,2.189,,6.015,,,,,,41.73,2018-12-19 22:49:00,9460
40,,,1.829,,5.945,,,,,,41.7,2018-12-19 22:59:00,9460
41,,,2.469,,5.973,,,,,,41.66,2018-12-19 23:09:00,9460
